Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2021-04-22,123.16070499186927,126.4831646919975,122.57203597759789,125.2160415649414,2235300,0.0,0.0,266.727,0.07
2021-04-23,125.65504449246991,127.14167101491064,125.27589942710931,127.11174011230469,1394600,0.0,0.0,266.727,0.07
2021-04-26,128.3090327034763,129.89543147823684,126.83237803696571,127.28135681152344,1357400,0.0,0.0,266.727,0.07
2021-04-27,127.4310086043877,130.05506256342366,127.3012978842033,129.7158203125,1712900,0.0,0.0,266.727,0.07
2021-04-28,129.52628666037043,129.9553064681263,128.668231820593,128.81788635253906,1328800,0.0,0.0,266.727,0.07
2021-04-29,130.5838674787669,132.38976962203108,128.15935783434563,130.094970703125,1597000,0.0,0.0,266.727,0.07
2021-04-30,129.41652271868602,129.76572166836925,127.29133721996425,128.40879821777344,1263900,0.0,0.0,266.727,0.07
2021-05-03,129.34666690204665,129.87546646920924,128.0994952390663,128.3788604736328,1375300,0.0,0.0,266.727,0.07
2021-05-04,127.87999516356733,128.55846448264631,125.40561078208884,127.9598159790039,2574900,0.0,0.0,266.727,0.07
2021-05-05,126.82240641111818,127.82014384957422,122.04324316745783,122.34256744384766,3767400,0.0,0.0,266.727,0.07
2021-05-06,121.87361701343954,122.45230649474975,119.19968065069872,120.49673461914062,3108500,0.0,0.0,266.727,0.07
2021-05-07,120.92576833735308,123.260477782744,119.52894208436007,123.16070556640625,2097100,0.0,0.0,266.727,0.07
2021-05-10,122.19290206957437,123.42011482358036,120.80604767581964,121.30491638183594,2219000,0.0,0.0,266.727,0.07
2021-05-11,118.99015947113989,121.883599332366,117.8926498995388,121.5543441772461,1640400,0.0,0.0,266.727,0.07
2021-05-12,120.75615238178314,121.98337269326005,117.27405110028216,118.02235412597656,1984200,0.0,0.0,266.727,0.07
2021-05-13,118.57110196071505,120.88585989967874,117.96248918581449,119.88812255859375,1648500,0.0,0.0,266.727,0.07
2021-05-14,121.01556428507912,124.14845896003055,120.17746095145382,123.33031463623047,1470700,0.0,0.0,266.727,0.07
2021-05-17,123.15072560722733,123.15072560722733,120.11760304651929,121.43461608886719,1428900,0.0,0.0,266.727,0.07
2021-05-18,121.87361649425557,123.09085725591856,120.44685180655527,120.51669311523438,2237100,0.0,0.0,266.727,0.07
2021-05-19,117.97246551549638,120.38699575695394,117.62325895540916,120.29719543457031,1511900,0.0,0.0,266.727,0.07
2021-05-20,120.43687780119177,120.92576698426896,118.78063771454714,120.30717468261719,1484400,0.0,0.0,266.727,0.07
2021-05-21,121.04549535673026,121.94346049682144,120.42689545752702,120.70626831054688,1429500,0.0,0.0,266.727,0.07
2021-05-24,121.81375010655033,123.61965989666093,121.04549569198072,123.31035614013672,2057700,0.0,0.0,266.727,0.07
2021-05-25,124.34800606597489,125.0264677841512,123.07090344637996,123.51988983154297,1374200,0.0,0.0,266.727,0.07
2021-05-26,124.13848733296507,126.11401076377379,123.63961862552303,125.93441772460938,1523000,0.0,0.0,266.727,0.07
2021-05-27,126.71264268711307,127.3911043855136,124.82691971593681,125.98429107666016,2395700,0.0,0.0,266.727,0.07
2021-05-28,125.61513642178227,126.03418429032514,124.10855086148914,124.98655700683594,893700,0.0,0.0,266.727,0.07
2021-06-01,127.31128999347717,127.31128999347717,125.51536725097102,126.32353210449219,1489100,0.0,0.0,270.955,0.08
2021-06-02,126.59290970621858,126.71264092620132,124.27815940480788,124.88677978515625,1462100,0.0,0.0,270.955,0.08
2021-06-03,123.84913198292064,124.21829753524017,121.91352673974558,122.85139465332031,1331400,0.0,0.0,270.955,0.08
2021-06-04,123.46999793348904,124.53757660103473,122.65185360520292,124.46773529052734,1657100,0.0,0.0,270.955,0.08
